Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-03-29,3292.433837890625,3307.228310863317,3279.6828843085714,3283.0149923595486,2689063
2022-03-30,3315.7138671875,3321.4450492066144,3293.18873172542,3321.4450492066144,1583455
2022-03-31,3323.177978515625,3336.2397987692148,3305.628876005545,3323.222450010069,2168110
2022-04-01,3339.883544921875,3343.6599346966455,3312.604725700365,3330.331500197456,1387014
2022-04-04,3350.190185546875,3358.764722999939,3320.6454958538197,3342.770605271368,1472994
2022-04-05,3389.686767578125,3408.1689027818647,3351.656266029568,3351.656266029568,2314947
2022-04-06,3336.86181640625,3384.7996989953504,3315.3584397335258,3384.7996989953504,2051729
2022-04-07,3273.59619140625,3328.1095666362144,3269.0201830609085,3328.1095666362144,2494829
2022-04-08,3274.9287109375,3292.1224737888224,3236.5873443389437,3278.7940427208514,2296773
2022-04-11,3284.4814453125,3298.654186881885,3248.6725598448093,3278.794733632162,2291660
2022-04-12,3279.77197265625,3322.3340146067667,3241.7859391915695,3272.5745321735017,4483476
2022-04-13,3253.870361328125,3296.43262160667,3248.183649923165,3293.9001325191025,1621672
2022-04-18,3134.891357421875,3207.7089734177675,3129.9597946991926,3207.7089734177675,3820792
2022-04-19,3084.999267578125,3166.4361300253568,3055.89885314942,3154.3960678443605,3170014
2022-04-20,3160.43798828125,3171.4116009849918,3092.196369835976,3109.96761334078,2640370
2022-04-21,3224.281005859375,3237.9205218344946,3169.856573377936,3181.0525434049096,2280996
2022-04-22,3209.9755859375,3213.929644546312,3173.500062343697,3182.0303466809823,1581465
2022-04-25,3152.7958984375,3184.6064639812757,3139.378741319467,3161.5038501242684,1960694
2022-04-26,3151.108154296875,3188.0722114341042,3126.094998356819,3176.743043452235,1943469
2022-04-27,3164.347412109375,3170.789487548089,3115.5654379746916,3150.841311128136,1727648
2022-04-28,3184.873779296875,3202.7337507159955,3143.777774418422,3188.161416300322,1703660
2022-04-29,3151.463623046875,3219.4831052544378,3142.7114152271593,3196.158346677765,2051115
2022-05-02,3147.642333984375,3152.573897085291,3103.5253119643658,3127.6496864948044,1324161
2022-05-04,3091.97412109375,3150.352610577351,3079.1344414976566,3144.177147062356,2305825
2022-05-05,3121.874267578125,3139.290173030347,3096.950272047163,3120.719310294704,1612262
2022-05-06,3050.07861328125,3087.3092816962812,3042.881172879239,3073.536567962998,2010812
2022-05-09,3061.185791015625,3070.87103244035,2973.8845528972033,3019.3344236783305,2481830
2022-05-10,3055.54345703125,3078.6905471809036,3040.660039247092,3051.3227863163397,1622685
2022-05-11,3031.77392578125,3064.161971372953,3005.25025996758,3052.2108543548047,1841769
